Pre Class,Post Class,Pre,Post,Early L1,Late L1,L2,L3,adult_SEM,standard deviation,median absolute deviation,Pearson's correlation,Spearman's correlation,Pearson pvalue,Spearman pvalue,classification,nondauer contact
AIZ,ADF,AIZ,ADF,4.108988799748468,4.764401598150414,1.6930379712845396,0.8333388208798951,0.0,2.070821353351401,1.6930379712845396,-0.8512710761779276,-0.8999999999999998,0.0672965657380272,0.0373860734684987,variable,Y
ASK,ADL,ASK,ADL,0.0,0.0,0.0,5.999203770766334,8.411024141137343,4.037475674582159,0.0,0.8656755694303483,0.8944271909999157,0.0578917319644412,0.040519326353834,developmentally dynamic (strengthened),Y
AWA,ADL,AWA,ADL,73.13591182388733,69.06348534003045,68.53685925462294,29.840334124083927,14.094652881101965,27.08110050011972,4.599052569264387,-0.8872257226999594,-1.0,0.0446850809484815,1.4042654220543672e-24,developmentally dynamic (weakened),Y
AWA,AFD,AWA,AFD,0.0,4.27919398551703,13.152075312116832,27.78854092521141,28.32486431225361,13.076942501463035,13.152075312116832,0.8704582331367794,1.0,0.0548686756139126,1.4042654220543672e-24,developmentally dynamic (strengthened),Y
AIN,AFD,AIN,AFD,79.82871182556438,70.18918749814765,66.3476584387083,50.45723669421599,55.05342125610485,11.801581802727611,11.294237182603446,-0.8000382012758351,-0.8999999999999998,0.1040588562755752,0.0373860734684987,stable,Y
RIR,AQR,RIR,AQR,0.0,0.0,6.621510142547174,0.0,27.814917712273207,12.04512900749028,0.0,0.8791763814555742,0.6708203932499368,0.0494914158395487,0.21516994256955,post-embryonic brain integration,Y
AIM,ASG,AIM,ASG,81.00312258753416,79.01305146029604,71.88895196305558,40.23332475244404,53.577116984938215,17.633003535154288,9.11417062447859,-0.6771336785786682,-0.8999999999999998,0.2092316449713207,0.0373860734684987,stable,Y
ADL,ASH,ADL,ASH,3.567171902162222,21.0828019480246,32.990684125484826,16.890084130029383,48.55677345140166,17.018536843343334,11.90788217746023,0.9003555194744308,0.7,0.037188929169915,0.1881204043741873,developmentally dynamic (strengthened),Y
ADL,ASK,ADL,ASK,36.39439460920318,23.955505968586245,19.932751664081614,10.032416728307489,11.116262852923622,10.75047073652335,8.816488811157996,-0.8485829414168343,-0.8999999999999998,0.0690999489604594,0.0373860734684987,developmentally dynamic (weakened),Y
ASJ,ASK,ASJ,ASK,8.570785022944875,10.439546703870592,13.459234556202157,15.73229811044732,23.10935001129619,5.6586855349744205,3.019687852331563,0.9899057995573712,1.0,0.001215578674865,1.4042654220543672e-24,stable,Y
AIM,ASK,AIM,ASK,4.081387670282927,6.243454896747465,10.915055905853006,10.461133361247454,21.90512014517974,6.879727348549664,4.217678464499989,0.98331352443442,0.8999999999999998,0.0025810164023048,0.0373860734684987,stable,Y
URX,AUA,URX,AUA,32.53847733338568,32.51832712835447,43.357762481964016,43.81044959286034,64.8117642579996,13.181588580989311,10.819285148578338,0.9658548744550588,0.8999999999999998,0.0075351169021655,0.0373860734684987,stable,Y
AIN,AUA,AIN,AUA,32.15017971771795,31.24963502577928,27.461745480461875,29.7676611826509,10.205534456982404,9.097267823641236,2.3059157021890258,-0.9189017936395848,-0.8999999999999998,0.0273839383324735,0.0373860734684987,stable,Y
AVJ,AVM,AVJ,AVM,0.0,0.0,0.0,22.270689795475505,33.39980039472046,15.745551711278052,0.0,0.8771644495972557,0.8944271909999157,0.050716781953785,0.040519326353834,post-embryonic brain integration,Y
AWA,AWB,AWA,AWB,77.05849357031418,65.99909220841602,46.344441495664746,61.5329165284059,34.68058751632776,16.699517074110666,15.188475032741152,-0.908145656722166,-0.8999999999999998,0.0329539401263375,0.0373860734684987,stable,Y
AIM,AWB,AIM,AWB,0.0,0.0,0.0,2.5747817460149074,3.715161744073857,1.7691276100482034,0.0,0.8707901519193557,0.8944271909999157,0.0546607721508136,0.040519326353834,variable,Y
AIN,AWC,AIN,AWC,6.371627876708536,6.2080185753950845,0.0,0.0,0.0,3.4455636498153352,0.0,-0.7568144877232841,-0.8944271909999157,0.1385884191314062,0.040519326353834,variable,Y
BAG,BAG,BAG,BAG,0.0,0.0,0.0,0.621468123622113,0.7518839985093623,0.3789237936644423,0.0,0.8343422064993584,0.8944271909999157,0.078895904299088,0.040519326353834,variable,Y
DVC,BAG,DVC,BAG,2.8898584165462124,0.5114919622691644,0.0,0.0,0.0,1.2548972881530425,0.0,-0.7231267967041358,-0.8944271909999157,0.1674329259396845,0.040519326353834,variable,Y
AUA,DVA,AUA,DVA,0.0,0.0,3.3125085539928025,6.407723656335991,7.735543653502826,3.5682435731682443,3.3125085539928025,0.8971378124470843,0.9746794344808964,0.0389852740762489,0.0048182304681985,variable,Y
AIB,DVA,AIB,DVA,0.0,0.0,0.0,4.896618115310296,6.966739425175726,3.330333194997216,0.0,0.8683289369927825,0.8944271909999157,0.0562082827063428,0.040519326353834,variable,Y
DVA,FLP,DVA,FLP,0.0,0.0,0.0,1.82645205349462,17.697689574188153,7.750898691578928,0.0,0.8881166638830763,0.8944271909999157,0.0441627237543986,0.040519326353834,variable,Y
ADE,IL2L/R,ADE,IL2L/R,0.0,0.0,0.0,4.313549915092815,5.279269371132711,2.6491961795675456,0.0,0.8371018957539207,0.8944271909999157,0.0769663283199162,0.040519326353834,developmentally dynamic (strengthened),Y
PVT,IL2V,PVT,IL2V,0.0,0.0,14.631808951682777,0.0,59.738391520151865,25.867836742610127,0.0,0.8789817760058803,0.6708203932499368,0.0496095262981053,0.21516994256955,variable,Y
ADL,OLL,ADL,OLL,2.897554869504656,0.2210988069141058,0.0,0.0,0.0,1.2747067068075832,0.0,-0.6864431771975876,-0.8944271909999157,0.200560536901942,0.040519326353834,variable,Y
IL2D,OLQD,IL2D,OLQD,0.0,0.0,0.0,2.6214814065666907,6.049677413970104,2.666128397127577,0.0,0.9152259378656382,0.8944271909999157,0.0292500992650187,0.040519326353834,developmentally dynamic (strengthened),Y
IL2V,OLQV,IL2V,OLQV,0.0,0.0,0.0,0.2695976219246279,11.916133456357407,5.300200728392889,0.0,0.8665833813511924,0.8944271909999157,0.0573140096665846,0.040519326353834,developmentally dynamic (strengthened),Y
